date,day_of_week,nifty_entry,nifty_exit,nifty_move,nifty_move_pct,atm_strike,expiry,days_to_expiry,ce_symbol,pe_symbol,ce_entry,pe_entry,entry_straddle,ce_exit,pe_exit,exit_straddle,premium_collected,premium_paid,gross_pnl,transaction_cost,net_pnl,data_source
2025-12-22,Monday,26139.25,26162.75,23.5,0.09,26150,2026-01-06,15,NIFTY2610626150CE,NIFTY2610626150PE,231.95,150.65,382.6,238.7,140.65,379.35,19130.0,18967.5,162.5,126.44,36.06,REAL_KITE_DATA
2025-12-23,Tuesday,26181.65,26165.95,-15.7,-0.06,26200,2026-01-06,14,NIFTY2610626200CE,NIFTY2610626200PE,221.5,140.75,362.25,205.9,137.55,343.45,18112.5,17172.5,940.0,124.27,815.73,REAL_KITE_DATA
2025-12-24,Wednesday,26209.7,26141.65,-68.05,-0.26,26200,2026-01-06,13,NIFTY2610626200CE,NIFTY2610626200PE,214.0,117.1,331.1,161.2,132.35,293.55,16555.0,14677.5,1877.5,121.1,1756.4,REAL_KITE_DATA
2025-12-26,Friday,26094.85,26047.65,-47.2,-0.18,26100,2026-01-06,11,NIFTY2610626100CE,NIFTY2610626100PE,161.15,116.85,278.0,138.85,127.3,266.15,13900.0,13307.5,592.5,117.4,475.1,REAL_KITE_DATA
2025-12-29,Monday,26031.5,25949.8,-81.7,-0.31,26050,2026-01-06,8,NIFTY2610626050CE,NIFTY2610626050PE,140.6,106.15,246.75,101.15,148.65,249.8,12337.5,12490.0,-152.5,115.22,-267.72,REAL_KITE_DATA
2025-12-30,Tuesday,25932.35,25970.55,38.2,0.15,25950,2026-01-06,7,NIFTY2610625950CE,NIFTY2610625950PE,142.45,105.05,247.5,135.5,89.05,224.55,12375.0,11227.5,1147.5,114.51,1032.99,REAL_KITE_DATA
2025-12-31,Wednesday,25977.6,26141.85,164.25,0.63,26000,2026-01-06,6,NIFTY2610626000CE,NIFTY2610626000PE,117.5,88.65,206.15,220.0,39.9,259.9,10307.5,12995.0,-2687.5,113.3,-2800.8,REAL_KITE_DATA
2026-01-01,Thursday,26171.7,26140.25,-31.45,-0.12,26150,2026-01-13,12,NIFTY2611326150CE,NIFTY2611326150PE,189.9,111.6,301.5,174.15,109.55,283.7,15075.0,14185.0,890.0,119.2,770.8,REAL_KITE_DATA
2026-01-02,Friday,26251.95,26335.7,83.75,0.32,26250,2026-01-13,11,NIFTY2611326250CE,NIFTY2611326250PE,176.55,107.2,283.75,205.45,87.5,292.95,14187.5,14647.5,-460.0,118.51,-578.51,REAL_KITE_DATA
